key,context,en,no,sv,da,de,nl,fr,es,es-MX,pt,pt-BR,it,el,fi,pl,cs,sk,hu,ro,hr,sl,bg,uk,tr,is,et,lv,lt,ga,ca,zh,zh-TW,ja,ko,hi,th,vi,id,ms,tl,bn,ar,he,fa
DevClose,Button: close the dev panel,Close,Lukk,Stäng,Luk,Schließen,Sluiten,Fermer,Cerrar,Cerrar,Fechar,Fechar,Chiudi,Κλείσιμο,Sulje,Zamknij,Zavřít,Zavrieť,Bezárás,Închide,Zatvori,Zapri,Затвори,Закрити,Kapat,Loka,Sulge,Aizvērt,Uždaryti,Dún,Tanca,关闭,關閉,閉じる,닫기,बंद करें,ปิด,Đóng,Tutup,Tutup,Isara,বন্ধ,إغلاق,סגור,بستن
DevRestart,Button: restart the game,Restart,Start på nytt,Starta om,Genstart,Neustart,Herstart,Redémarrer,Reiniciar,Reiniciar,Reiniciar,Reiniciar,Riavvia,Επανεκκίνηση,Käynnistä uudelleen,Restart,Restart,Reštart,Újraindítás,Repornire,Ponovo pokreni,Ponovni zagon,Рестарт,Перезапуск,Yeniden başlat,Endurræsa,Taaskäivita,Restartēt,Paleisti iš naujo,Atosaigh,Reinicia,重新开始,重新開始,リスタート,다시 시작,पुनः आरंभ,เริ่มใหม่,Khởi động lại,Mulai ulang,Mula semula,I-restart,পুনরায় শুরু,إعادة التشغيل,הפעל מחדש,شروع دوباره
DevCenter,Button: center camera on base,Center,Sentrer,Centrera,Centrér,Zentrieren,Centreren,Centrer,Centrar,Centrar,Centrar,Centralizar,Centra,Κεντράρισμα,Keskitä,Wyśrodkuj,Vystředit,Vystrediť,Középre,Centrare,Centriraj,Centriraj,Центрирай,Центрувати,Ortala,Miðja,Keskele,Centrēt,Centruoti,Láraigh,Centra,居中,置中,中央へ,중앙 정렬,केंद्र,กึ่งกลาง,Căn giữa,Tengah,Tengah,Igitna,কেন্দ্র,توسيط,מרכז,وسط‌چین
DevGive,Button: give +5000 credits,+5000 cr,+5000 kr,+5000 kr,+5000 kr,+5000 Cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 πιστ.,+5000 cr,+5000 kr.,+5000 kr.,+5000 kr.,+5000 kr,+5000 cr,+5000 kr.,+5000 kr.,+5000 кр,+5000 кр,+5000 kr,+5000 kr,+5000 kr,+5000 kr,+5000 kr,+5000 cr,+5000 cr,+5000 资金,+5000 資金,+5000 クレジット,+5000 자금,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 رصيد,+5000 קרדיט,+5000 اعتبار
DevBuildInf,Button: queue a rifleman,Build rifleman,Bygg infanteri,Bygg gevärssoldat,Byg riffelmand,Schütze bauen,Bouw schutter,Produire fusilier,Crear fusilero,Crear fusilero,Criar fuzileiro,Criar fuzileiro,Crea fuciliere,Κατασκευή πεζού,Rakenna kiväärimies,Buduj strzelca,Postavit střelce,Postaviť strelca,Lövész építése,Construiește pușcaș,Gradi strijelca,Zgradi strelca,Строй стрелец,Збудувати стрільця,Tüfekçi yap,Smíða riffilmann,Ehita laskur,Būvēt strēlnieku,Statyti šaulį,Tóg raidhfilire,Construeix fuseller,造步兵,造步兵,歩兵を生産,보병 생산,राइफलमैन बनाएं,สร้างพลปืน,Tạo lính súng,Bangun penembak,Bina penembak,Gumawa ng rifleman,রাইফেলম্যান তৈরি,بناء مشاة,בנה רגלים,ساخت پیاده‌نظام
DevBuildTank,Button: queue a tank,Build tank,Bygg stridsvogn,Bygg stridsvagn,Byg kampvogn,Panzer bauen,Bouw tank,Produire char,Crear tanque,Crear tanque,Criar tanque,Criar tanque,Crea carro,Κατασκευή τανκ,Rakenna panssari,Buduj czołg,Postavit tank,Postaviť tank,Tank építése,Construiește tanc,Gradi tenk,Zgradi tank,Строй танк,Збудувати танк,Tank yap,Smíða skriðdreka,Ehita tank,Būvēt tanku,Statyti tanką,Tóg tanc,Construeix tanc,造坦克,造戰車,戦車を生産,전차 생산,टैंक बनाएं,สร้างรถถัง,Tạo xe tăng,Bangun tank,Bina kereta kebal,Gumawa ng tangke,ট্যাঙ্ক তৈরি,بناء دبابة,בנה טנק,ساخت تانک
DevBuildHarv,Button: queue a harvester,Build harvester,Bygg høster,Bygg skördare,Byg høster,Ernter bauen,Bouw oogster,Produire récolteuse,Crear recolector,Crear cosechadora,Criar colhedora,Criar colheitadeira,Crea raccoglitore,Κατασκευή συλλέκτη,Rakenna korjuukone,Buduj kombajn,Postavit sběrač,Postaviť zberač,Arató építése,Construiește recoltator,Gradi žetelicu,Zgradi nabiralnik,Строй комбайн,Збудувати комбайн,Hasatçı yap,Smíða uppskeruvél,Ehita koguja,Būvēt kombainu,Statyti kombainą,Tóg buainteoir,Construeix recol·lector,造采矿车,造採礦車,採掘車を生産,채취 차량 생산,हार्वेस्टर बनाएं,สร้างรถเก็บเกี่ยว,Tạo máy thu hoạch,Bangun pemanen,Bina penuai,Gumawa ng harvester,হার্ভেস্টার তৈরি,بناء حصّادة,בנה קוצר,ساخت برداشت‌گر
DevSpawnTankYou,Button: spawn a tank for the player,Spawn tank (you),Spawn vogn (deg),Skapa stridsvagn (du),Skab kampvogn (dig),Panzer erzeugen (du),Tank maken (jij),Créer char (vous),Generar tanque (tú),Generar tanque (tú),Gerar tanque (tu),Gerar tanque (você),Genera carro (tu),Δημιουργία τανκ (εσύ),Luo panssari (sinä),Stwórz czołg (ty),Vyvolat tank (ty),Vyvolať tank (ty),Tank létrehozása (te),Apariție tanc (tu),Stvori tenk (ti),Ustvari tank (ti),Танк (ти),Танк (ви),Tank (sen),Búa til skriðdreka (þú),Tank (sina),Tanks (tu),Tankas (tu),Cruthaigh tanc (tú),Genera tanc (tu),生成坦克(我方),生成戰車(我方),戦車を出現(自軍),전차 소환(아군),टैंक (आप),สร้างรถถัง (คุณ),Xe tăng (bạn),Tank (kamu),Kereta kebal (anda),Tangke (ikaw),ট্যাঙ্ক (আপনি),دبابة (لك),טנק (אתה),تانک (شما)
DevSpawnTankFoe,Button: spawn a tank for the enemy,Spawn tank (enemy),Spawn vogn (fi),Skapa stridsvagn (fiende),Skab kampvogn (fjende),Panzer erzeugen (Feind),Tank maken (vijand),Créer char (ennemi),Generar tanque (enemigo),Generar tanque (enemigo),Gerar tanque (inimigo),Gerar tanque (inimigo),Genera carro (nemico),Δημιουργία τανκ (εχθρός),Luo panssari (vihollinen),Stwórz czołg (wróg),Vyvolat tank (nepřítel),Vyvolať tank (nepriateľ),Tank létrehozása (ellenség),Apariție tanc (inamic),Stvori tenk (neprijatelj),Ustvari tank (sovražnik),Танк (враг),Танк (ворог),Tank (düşman),Búa til skriðdreka (óvinur),Tank (vaenlane),Tanks (ienaidnieks),Tankas (priešas),Cruthaigh tanc (namhaid),Genera tanc (enemic),生成坦克(敌方),生成戰車(敵方),戦車を出現(敵),전차 소환(적군),टैंक (शत्रु),สร้างรถถัง (ศัตรู),Xe tăng (địch),Tank (musuh),Kereta kebal (musuh),Tangke (kaaway),ট্যাঙ্ক (শত্রু),دبابة (العدو),טנק (אויב),تانک (دشمن)
DevPause,Toggle button label: pause,Pause,Pause,Pausa,Pause,Pause,Pauze,Pause,Pausa,Pausa,Pausa,Pausa,Pausa,Παύση,Tauko,Pauza,Pauza,Pauza,Szünet,Pauză,Pauza,Premor,Пауза,Пауза,Duraklat,Hlé,Paus,Pauze,Pauzė,Sos,Pausa,暂停,暫停,一時停止,일시정지,रोकें,หยุดชั่วคราว,Tạm dừng,Jeda,Jeda,I-pause,বিরতি,إيقاف مؤقت,השהה,مکث
DevFreeBuild,Toggle button label: free building (no cost),Free build,Gratis bygg,Gratis bygge,Gratis byg,Gratis bauen,Gratis bouwen,Construction gratuite,Construcción gratis,Construcción gratis,Construção grátis,Construção grátis,Costruzione gratis,Δωρεάν κατασκευή,Ilmainen rakennus,Darmowa budowa,Stavba zdarma,Stavba zadarmo,Ingyenes építés,Construire gratuită,Besplatna gradnja,Brezplačna gradnja,Безпл. строеж,Безкошт. буд.,Bedava inşa,Ókeypis bygging,Tasuta ehitus,Bezmaksas būve,Nemokama statyba,Tógáil saor,Construcció gratuïta,免费建造,免費建造,無料建設,무료 건설,मुफ्त निर्माण,สร้างฟรี,Xây miễn phí,Bangun gratis,Bina percuma,Libreng build,বিনামূল্যে নির্মাণ,بناء مجاني,בנייה חינם,ساخت رایگان
DevGod,Toggle button label: invincible/god mode,Invincible,Udødelig,Odödlig,Udødelig,Unbesiegbar,Onkwetsbaar,Invincible,Invencible,Invencible,Invencível,Invencível,Invincibile,Άτρωτος,Kuolematon,Nieśmiertelność,Nesmrtelnost,Nesmrteľnosť,Sebezhetetlen,Invincibil,Besmrtnost,Nesmrtnost,Безсмъртен,Невразливий,Ölümsüz,Ódauðlegur,Surematu,Neievainojams,Nepažeidžiamas,Dobhuailte,Invencible,无敌,無敵,無敵,무적,अजेय,อมตะ,Bất tử,Kebal,Kebal,Di matatalo,অজেয়,خالد,בלתי פגיע,شکست‌ناپذیر
DevSpeed,Label: game speed (followed by x1/x2/x4),Speed,Fart,Hastighet,Fart,Tempo,Snelheid,Vitesse,Velocidad,Velocidad,Velocidade,Velocidade,Velocità,Ταχύτητα,Nopeus,Prędkość,Rychlost,Rýchlosť,Sebesség,Viteză,Brzina,Hitrost,Скорост,Швидкість,Hız,Hraði,Kiirus,Ātrums,Greitis,Luas,Velocitat,速度,速度,速度,속도,गति,ความเร็ว,Tốc độ,Kecepatan,Kelajuan,Bilis,গতি,السرعة,מהירות,سرعت
DevReveal,Toggle button label: reveal whole map,Reveal map,Avslør kart,Visa karta,Afslør kort,Karte zeigen,Toon kaart,Révéler la carte,Revelar mapa,Revelar mapa,Revelar mapa,Revelar mapa,Rivela mappa,Αποκάλυψη χάρτη,Paljasta kartta,Odkryj mapę,Odhalit mapu,Odhaliť mapu,Térkép felfedése,Dezvăluie harta,Otkrij kartu,Razkrij zemljevid,Покажи карта,Відкрити карту,Haritayı aç,Sýna kort,Näita kaarti,Atklāt karti,Atskleisti žemėlapį,Nocht an léarscáil,Revela el mapa,显示地图,顯示地圖,マップ表示,지도 공개,नक्शा दिखाएं,เปิดแผนที่,Hiện bản đồ,Buka peta,Dedah peta,Ipakita ang mapa,মানচিত্র দেখান,كشف الخريطة,חשוף מפה,آشکارسازی نقشه
DevSound,Toggle button label: sound on/off,Sound,Lyd,Ljud,Lyd,Ton,Geluid,Son,Sonido,Sonido,Som,Som,Audio,Ήχος,Ääni,Dźwięk,Zvuk,Zvuk,Hang,Sunet,Zvuk,Zvok,Звук,Звук,Ses,Hljóð,Heli,Skaņa,Garsas,Fuaim,So,声音,聲音,サウンド,사운드,ध्वनि,เสียง,Âm thanh,Suara,Bunyi,Tunog,শব্দ,الصوت,צליל,صدا
DevOn,State word for a toggle that is enabled,on,på,på,til,an,aan,activé,activado,activado,ligado,ligado,attivo,ενεργό,päällä,wł.,zap.,zap.,be,pornit,uklj.,vkl.,вкл,увімк,açık,á,sees,ieslēgts,įjungta,air,activat,开,開,オン,켜짐,चालू,เปิด,bật,nyala,hidup,on,চালু,تشغيل,פעיל,روشن
DevOff,State word for a toggle that is disabled,off,av,av,fra,aus,uit,désactivé,desactivado,desactivado,desligado,desligado,disattivo,ανενεργό,pois,wył.,vyp.,vyp.,ki,oprit,isklj.,izkl.,изкл,вимк,kapalı,af,väljas,izslēgts,išjungta,as,desactivat,关,關,オフ,꺼짐,बंद,ปิด,tắt,mati,mati,off,বন্ধ,إيقاف,כבוי,خاموش
DevZoom,Button: reset zoom to 1.0,Zoom,Zoom,Zoom,Zoom,Zoom,Zoom,Zoom,Zoom,Zoom,Zoom,Zoom,Zoom,Ζουμ,Zoomaus,Zoom,Zoom,Zoom,Nagyítás,Zoom,Zum,Povečava,Мащаб,Масштаб,Yakınlaştır,Aðdráttur,Suum,Tālummaiņa,Mastelis,Súmáil,Zoom,缩放,縮放,ズーム,확대,ज़ूम,ซูม,Thu phóng,Zoom,Zum,Zoom,জুম,تكبير,זום,بزرگ‌نمایی
DevWaiting,Placeholder text before game data arrives,waiting for game data...,venter på spilldata ...,väntar på speldata ...,venter på spildata ...,warte auf Spieldaten ...,wachten op speldata ...,en attente des données de jeu...,esperando datos de partida...,esperando datos del juego...,à espera dos dados do jogo...,aguardando dados do jogo...,in attesa dei dati di gioco...,αναμονή δεδομένων παιχνιδιού...,odotetaan pelidataa...,oczekiwanie na dane gry...,čekání na data hry...,čakanie na dáta hry...,várakozás a játékadatokra...,se așteaptă datele jocului...,čekanje na podatke igre...,čakanje na podatke igre...,чакане на данни...,очікування даних...,oyun verisi bekleniyor...,bíð eftir leikgögnum ...,ootan mänguandmeid...,gaida spēles datus...,laukiama žaidimo duomenų...,ag fanacht le sonraí an chluiche...,esperant dades del joc...,等待游戏数据...,等待遊戲資料...,ゲームデータ待機中...,게임 데이터 대기 중...,गेम डेटा की प्रतीक्षा...,กำลังรอข้อมูลเกม...,đang chờ dữ liệu trò chơi...,menunggu data game...,menunggu data permainan...,naghihintay ng datos ng laro...,গেম ডেটার অপেক্ষায়...,بانتظار بيانات اللعبة...,ממתין לנתוני המשחק...,در انتظار داده‌های بازی...
ChooseLang,Tooltip/title for the language picker,Choose language,Velg språk,Välj språk,Vælg sprog,Sprache wählen,Kies taal,Choisir la langue,Elegir idioma,Elegir idioma,Escolher idioma,Escolher idioma,Scegli lingua,Επιλογή γλώσσας,Valitse kieli,Wybierz język,Vybrat jazyk,Vybrať jazyk,Nyelv választása,Alege limba,Odaberi jezik,Izberi jezik,Избери език,Вибрати мову,Dil seç,Velja tungumál,Vali keel,Izvēlēties valodu,Pasirinkti kalbą,Roghnaigh teanga,Trieu idioma,选择语言,選擇語言,言語を選択,언어 선택,भाषा चुनें,เลือกภาษา,Chọn ngôn ngữ,Pilih bahasa,Pilih bahasa,Pumili ng wika,ভাষা নির্বাচন,اختر اللغة,בחר שפה,انتخاب زبان
SearchLang,Search box placeholder in language picker,Search language...,Søk språk ...,Sök språk ...,Søg sprog ...,Sprache suchen ...,Zoek taal ...,Rechercher une langue...,Buscar idioma...,Buscar idioma...,Procurar idioma...,Buscar idioma...,Cerca lingua...,Αναζήτηση γλώσσας...,Hae kieltä...,Szukaj języka...,Hledat jazyk...,Hľadať jazyk...,Nyelv keresése...,Caută limba...,Traži jezik...,Iskanje jezika...,Търси език...,Пошук мови...,Dil ara...,Leita að tungumáli ...,Otsi keelt...,Meklēt valodu...,Ieškoti kalbos...,Cuardaigh teanga...,Cerca idioma...,搜索语言...,搜尋語言...,言語を検索...,언어 검색...,भाषा खोजें...,ค้นหาภาษา...,Tìm ngôn ngữ...,Cari bahasa...,Cari bahasa...,Maghanap ng wika...,ভাষা খুঁজুন...,ابحث عن لغة...,חפש שפה...,جستجوی زبان...
Loading,Loading screen text,Loading OpenRA Rust...,Laster OpenRA Rust ...,Laddar OpenRA Rust ...,Indlæser OpenRA Rust ...,Lade OpenRA Rust ...,OpenRA Rust laden ...,Chargement d'OpenRA Rust...,Cargando OpenRA Rust...,Cargando OpenRA Rust...,A carregar OpenRA Rust...,Carregando OpenRA Rust...,Caricamento di OpenRA Rust...,Φόρτωση OpenRA Rust...,Ladataan OpenRA Rustia...,Ładowanie OpenRA Rust...,Načítání OpenRA Rust...,Načítava sa OpenRA Rust...,OpenRA Rust betöltése...,Se încarcă OpenRA Rust...,Učitavanje OpenRA Rust...,Nalaganje OpenRA Rust...,Зареждане на OpenRA Rust...,Завантаження OpenRA Rust...,OpenRA Rust yükleniyor...,Hleð OpenRA Rust ...,Laadin OpenRA Rust...,Ielādē OpenRA Rust...,Įkeliama OpenRA Rust...,OpenRA Rust á luchtú...,Carregant OpenRA Rust...,正在加载 OpenRA Rust...,正在載入 OpenRA Rust...,OpenRA Rust を読み込み中...,OpenRA Rust 불러오는 중...,OpenRA Rust लोड हो रहा है...,กำลังโหลด OpenRA Rust...,Đang tải OpenRA Rust...,Memuat OpenRA Rust...,Memuatkan OpenRA Rust...,Nilo-load ang OpenRA Rust...,OpenRA Rust লোড হচ্ছে...,جارٍ تحميل OpenRA Rust...,טוען את OpenRA Rust...,در حال بارگذاری OpenRA Rust...
LoadError,Error if WASM fails to load,Could not load WASM. Are you using a web server? (see README),Kunne ikke laste WASM. Kjører du via en webserver? (se README),Kunde inte ladda WASM. Använder du en webbserver? (se README),Kunne ikke indlæse WASM. Bruger du en webserver? (se README),WASM konnte nicht geladen werden. Nutzt du einen Webserver? (siehe README),Kon WASM niet laden. Gebruik je een webserver? (zie README),Impossible de charger le WASM. Utilisez-vous un serveur web ? (voir README),No se pudo cargar WASM. ¿Usas un servidor web? (ver README),No se pudo cargar WASM. ¿Usas un servidor web? (ver README),Não foi possível carregar o WASM. Está a usar um servidor web? (ver README),Não foi possível carregar o WASM. Você está usando um servidor web? (veja README),Impossibile caricare il WASM. Stai usando un server web? (vedi README),Αδυναμία φόρτωσης WASM. Χρησιμοποιείτε διακομιστή ιστού; (δείτε README),WASM-latauksen virhe. Käytätkö web-palvelinta? (katso README),Nie można załadować WASM. Czy używasz serwera WWW? (zob. README),Nelze načíst WASM. Používáte webový server? (viz README),Nedá sa načítať WASM. Používate webový server? (pozri README),Nem sikerült betölteni a WASM-ot. Webszervert használsz? (lásd README),Nu s-a putut încărca WASM. Folosești un server web? (vezi README),Nije moguće učitati WASM. Koristite li web poslužitelj? (vidi README),WASM ni mogoče naložiti. Ali uporabljate spletni strežnik? (glej README),Неуспешно зареждане на WASM. Използвате ли уеб сървър? (вижте README),Не вдалося завантажити WASM. Ви використовуєте веб-сервер? (див. README),WASM yüklenemedi. Web sunucusu kullanıyor musunuz? (bkz. README),Gat ekki hlaðið WASM. Ertu að nota vefþjón? (sjá README),WASM-i ei õnnestunud laadida. Kas kasutad veebiserverit? (vt README),Neizdevās ielādēt WASM. Vai izmantojat tīmekļa serveri? (sk. README),Nepavyko įkelti WASM. Ar naudojate žiniatinklio serverį? (žr. README),Níorbh fhéidir WASM a luchtú. An bhfuil freastalaí gréasáin in úsáid agat? (féach README),No s'ha pogut carregar WASM. Useu un servidor web? (vegeu README),无法加载 WASM。是否通过网页服务器运行?(见 README),無法載入 WASM。是否透過網頁伺服器執行?(見 README),WASM を読み込めません。Web サーバー経由ですか?(README 参照),WASM을 불러올 수 없습니다. 웹 서버로 실행 중인가요? (README 참조),WASM लोड नहीं हो सका। क्या आप वेब सर्वर का उपयोग कर रहे हैं? (README देखें),โหลด WASM ไม่ได้ คุณใช้เว็บเซิร์ฟเวอร์อยู่หรือไม่ (ดู README),Không thể tải WASM. Bạn có đang dùng máy chủ web không? (xem README),Tidak dapat memuat WASM. Apakah Anda memakai server web? (lihat README),Tidak dapat memuatkan WASM. Adakah anda menggunakan pelayan web? (lihat README),Hindi ma-load ang WASM. Gumagamit ka ba ng web server? (tingnan ang README),WASM লোড করা যায়নি। আপনি কি ওয়েব সার্ভার ব্যবহার করছেন? (README দেখুন),تعذّر تحميل WASM. هل تستخدم خادم ويب؟ (راجع README),לא ניתן לטעון WASM. האם אתה משתמש בשרת אינטרנט? (ראה README),بارگذاری WASM ممکن نشد. آیا از وب‌سرور استفاده می‌کنید؟ (به README مراجعه کنید)
DevCredits,Dev readout label: credits,credits,kreditter,krediter,kreditter,Credits,krediet,crédits,créditos,créditos,créditos,créditos,crediti,πιστώσεις,luotot,kredyty,kredity,kredity,kreditek,credite,krediti,krediti,кредити,кредити,kredi,kreditt,krediidid,kredīti,kreditai,creidmheasanna,crèdits,资金,資金,クレジット,자금,क्रेडिट,เครดิต,tín dụng,kredit,kredit,credits,ক্রেডিট,الرصيد,קרדיטים,اعتبار
DevBuildings,Dev readout label: buildings,buildings,bygninger,byggnader,bygninger,Gebäude,gebouwen,bâtiments,edificios,edificios,edifícios,edifícios,edifici,κτίρια,rakennukset,budynki,budovy,budovy,épületek,clădiri,građevine,zgradbe,сгради,будівлі,binalar,byggingar,hooned,ēkas,pastatai,foirgnimh,edificis,建筑,建築,建物,건물,इमारतें,อาคาร,công trình,bangunan,bangunan,mga gusali,ভবন,المباني,מבנים,ساختمان‌ها
DevProduction,Dev readout label: production,production,produksjon,produktion,produktion,Produktion,productie,production,producción,producción,produção,produção,produzione,παραγωγή,tuotanto,produkcja,výroba,výroba,termelés,producție,proizvodnja,proizvodnja,производство,виробництво,üretim,framleiðsla,tootmine,ražošana,gamyba,táirgeadh,producció,生产,生產,生産,생산,उत्पादन,การผลิต,sản xuất,produksi,pengeluaran,produksyon,উৎপাদন,الإنتاج,ייצור,تولید
DevInQueue,Dev readout: items in build queue,in queue,i kø,i kö,i kø,in Warteschlange,in wachtrij,en file,en cola,en cola,na fila,na fila,in coda,στην ουρά,jonossa,w kolejce,ve frontě,vo fronte,sorban,în coadă,u redu,v čakalni vrsti,в опашка,у черзі,kuyrukta,í biðröð,järjekorras,rindā,eilėje,i scuaine,en cua,队列中,佇列中,キュー内,대기열,कतार में,ในคิว,trong hàng đợi,dalam antrean,dalam baris gilir,nasa pila,সারিতে,في الطابور,בתור,در صف
DevMap,Dev readout label: map,map,kart,karta,kort,Karte,kaart,carte,mapa,mapa,mapa,mapa,mappa,χάρτης,kartta,mapa,mapa,mapa,térkép,hartă,karta,zemljevid,карта,карта,harita,kort,kaart,karte,žemėlapis,léarscáil,mapa,地图,地圖,マップ,지도,नक्शा,แผนที่,bản đồ,peta,peta,mapa,মানচিত্র,الخريطة,מפה,نقشه
DevExplored,Dev readout label: explored,explored,utforsket,utforskat,udforsket,erkundet,verkend,exploré,explorado,explorado,explorado,explorado,esplorato,εξερευνημένο,tutkittu,odkryte,prozkoumáno,preskúmané,felfedezett,explorat,istraženo,raziskano,проучено,досліджено,keşfedilen,kannað,uuritud,izpētīts,ištirta,taiscéalta,explorat,已探索,已探索,探索済み,탐색됨,खोजा गया,สำรวจแล้ว,đã khám phá,dijelajahi,diterokai,natuklasan,অন্বেষিত,المستكشف,נחקר,کاوش‌شده
DevVisible,Dev readout label: visible,visible,synlig,synligt,synlig,sichtbar,zichtbaar,visible,visible,visible,visível,visível,visibile,ορατό,näkyvä,widoczne,viditelné,viditeľné,látható,vizibil,vidljivo,vidno,видимо,видимо,görünür,sýnilegt,nähtav,redzams,matoma,infheicthe,visible,可见,可見,可視,보임,दृश्य,มองเห็น,nhìn thấy,terlihat,kelihatan,nakikita,দৃশ্যমান,المرئي,נראה,قابل‌مشاهده
DevTiles,Dev readout label: tiles count,tiles,ruter,rutor,felter,Felder,tegels,tuiles,casillas,casillas,células,células,celle,πλακίδια,ruudut,pola,dlaždice,dlaždice,mezők,dale,polja,ploščice,плочки,клітинки,kareler,reitir,ruudud,rūtiņas,langeliai,tíleanna,caselles,格,格,タイル,타일,टाइलें,ช่อง,ô,petak,petak,mga tile,টাইল,المربعات,אריחים,کاشی‌ها
DevEnemyShort,"Short word for enemy, used like '(enemy 5)'",enemy,fi,fiende,fjende,Feind,vijand,ennemi,enemigo,enemigo,inimigo,inimigo,nemico,εχθρός,vihollinen,wróg,nepřítel,nepriateľ,ellenség,inamic,neprijatelj,sovražnik,враг,ворог,düşman,óvinur,vaenlane,ienaidnieks,priešas,namhaid,enemic,敌方,敵方,敵,적,शत्रु,ศัตรู,địch,musuh,musuh,kaaway,শত্রু,العدو,אויב,دشمن
